"","nmajor","major1","major2","BBRJ","Business Direct Admit","Combined Bacc and Masters","Dean's List","First Generation College Stdnt","FSB Scholars","Honors Program","President's List","Study Abroad Courtesy Account","Transfer Work (Pre-Banner)","Cum Laude","Magna Cum Laude","Summa Cum Laude","University Honors","UniversityHonors w/Distinction","minor1","minor2","IPEDS.Race.Ethnicity","Gender","GPA.Range","Term.Code","year.x","latin_honors","survey_city","survey_company","survey_deptfunc","survey_gradprogram","survey_gradschool","survey_offers","survey_plans","survey_pref_field","survey_pref_loc","survey_salary","survey_state","has_internship","has_multiple_internships"
"1607",1,"Information Systems","none",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"No Minor","No Minor","Asian","Male","3.50 - 4.00",202110,"2021","Cum Laude","None","None","None","None","None",0,"None","None","None",0,"None",0,0
"1608",1,"Finance","none",0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,"No Minor","No Minor","Non-Resident Alien","Male","3.50 - 4.00",202020,"2020","Cum Laude","None","None","None","None","None",0,"None","None","None",0,"None",1,0
"1609",1,"Finance","none",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"No Minor","No Minor","Non-Resident Alien","Male","3.00 - 3.49",201920,"2019","0","None","None","None","Master science in Finance","University of Chicago Urbana-Champaign",0,"continuing education","None","None",0,"None",0,0
"1610",1,"Accountancy","none",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"No Minor","No Minor","Non-Resident Alien","Male","2.50 - 2.99",202020,"2020","0","None","None","None","None","None",0,"seeking continuing education","None","None",0,"None",1,0
"1611",1,"Finance","none",0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,"No Minor","No Minor","Non-Resident Alien","Female","3.00 - 3.49",201920,"2019","0","None","None","None","Finance","None",0,"continuing education","No","None",0,"None",0,0
"1612",1,"Finance","none",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"No Minor","No Minor","Non-Resident Alien","Male","3.00 - 3.49",202110,"2021","0","None","None","None","None","None",0,"None","None","None",0,"None",0,0
"1613",1,"Accountancy","none",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"Arts Related","No Minor","Non-Resident Alien","Female","3.00 - 3.49",202020,"2020","0","None","None","None","None","The University of Sheffield",0,"continuing education","None","None",0,"None",1,0
"1614",1,"Marketing","none",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"No Minor","No Minor","Non-Resident Alien","Female","2.50 - 2.99",202115,"2021","0","None","None","None","None","None",0,"None","None","None",0,"None",1,0
"1615",1,"Marketing","none",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"No Minor","No Minor","Non-Resident Alien","Male","3.00 - 3.49",201910,"2019","0","None","None","None","None","None",0,"None","None","None",0,"None",0,0
"1616",1,"Finance","none",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"No Minor","No Minor","Non-Resident Alien","Male","3.00 - 3.49",201920,"2019","0","None","None","None","None","None",2,"other","None","None",0,"None",1,0
"1617",1,"Marketing","none",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"Arts Related","No Minor","Non-Resident Alien","Male","3.00 - 3.49",202020,"2020","0","None","None","None","None","None",0,"None","None","None",0,"None",1,0
